id = 0, result = 858200.0, COST_COAST = 17, MAX_COST = 6064036, COST_DIAGONAL = 132, COST_TILE = 96, COST_TURN = 67, COST_SLOPE = 138, COST_TUNNEL = 196, COST_NO_ADJ_RAIL = 10, COST_BRIDGE = 82, COST_ADJ_OBST = 27, MAX_BRIDGE_LEN = 4, MAX_TUNNEL_LEN = 18
id = 1, result = 874486.166667, COST_COAST = 39, MAX_COST = 10906611, COST_DIAGONAL = 58, COST_TILE = 93, COST_TURN = 91, COST_SLOPE = 171, COST_TUNNEL = 64, COST_NO_ADJ_RAIL = 0, COST_BRIDGE = 223, COST_ADJ_OBST = 63, MAX_BRIDGE_LEN = 5, MAX_TUNNEL_LEN = 16
id = 2, result = 838634.0, COST_DIAGONAL = 47, MAX_COST = 10185876, COST_TILE = 92, COST_TURN = 46, COST_SLOPE = 112, COST_TUNNEL = 115, MAX_BRIDGE_LEN = 16, COST_BRIDGE = 214, COST_COAST = 20, COST_ADJ_OBST = 79, COST_NO_ADJ_RAIL = 17, MAX_TUNNEL_LEN = 9
id = 3, result = 653011.166667, COST_DIAGONAL = 121, MAX_COST = 16807840, COST_TILE = 132, COST_TURN = 61, COST_SLOPE = 194, COST_TUNNEL = 118, MAX_BRIDGE_LEN = 7, COST_BRIDGE = 132, COST_COAST = 32, COST_ADJ_OBST = 48, COST_NO_ADJ_RAIL = 83, MAX_TUNNEL_LEN = 3
id = 4, result = 1075364.16667, COST_DIAGONAL = 98, COST_COAST = 24, MAX_COST = 19003878, COST_TILE = 140, COST_NO_ADJ_RAIL = 31, COST_TURN = 58, COST_SLOPE = 142, COST_TUNNEL = 118, MAX_BRIDGE_LEN = 15, COST_BRIDGE = 256, COST_ADJ_OBST = 96, MAX_TUNNEL_LEN = 6
id = 5, result = 760089.5, COST_DIAGONAL = 65, MAX_COST = 19141979, COST_TILE = 84, COST_TURN = 100, COST_SLOPE = 195, COST_TUNNEL = 106, COST_NO_ADJ_RAIL = 66, COST_BRIDGE = 274, COST_COAST = 16, COST_ADJ_OBST = 3, MAX_BRIDGE_LEN = 8, MAX_TUNNEL_LEN = 7
id = 6, result = 706422.833333, COST_DIAGONAL = 97, MAX_COST = 14374749, COST_TILE = 176, COST_TURN = 27, COST_SLOPE = 196, COST_TUNNEL = 69, COST_NO_ADJ_RAIL = 81, COST_BRIDGE = 266, COST_COAST = 25, COST_ADJ_OBST = 15, MAX_BRIDGE_LEN = 12, MAX_TUNNEL_LEN = 17
id = 7, result = 336751.333333, COST_DIAGONAL = 119, MAX_COST = 12716482, COST_TILE = 136, COST_TURN = 36, COST_SLOPE = 81, COST_TUNNEL = 143, COST_NO_ADJ_RAIL = 97, COST_BRIDGE = 159, COST_COAST = 36, COST_ADJ_OBST = 1, MAX_BRIDGE_LEN = 9, MAX_TUNNEL_LEN = 8
id = 8, result = 457939.333333, MAX_COST = 8383835, COST_DIAGONAL = 68, COST_TILE = 124, COST_TURN = 35, COST_SLOPE = 165, COST_TUNNEL = 90, COST_NO_ADJ_RAIL = 90, COST_BRIDGE = 253, COST_COAST = 29, COST_ADJ_OBST = 3, MAX_BRIDGE_LEN = 20, MAX_TUNNEL_LEN = 6
id = 9, result = 925675.5, MAX_COST = 18164893, COST_DIAGONAL = 90, COST_TILE = 190, COST_TURN = 71, COST_SLOPE = 102, COST_TUNNEL = 149, COST_NO_ADJ_RAIL = 93, COST_BRIDGE = 199, COST_COAST = 27, COST_ADJ_OBST = 7, MAX_BRIDGE_LEN = 14, MAX_TUNNEL_LEN = 12
id = 10, result = 753751.5, MAX_COST = 13884990, COST_DIAGONAL = 56, COST_TILE = 113, COST_TURN = 73, COST_SLOPE = 128, COST_TUNNEL = 227, COST_NO_ADJ_RAIL = 52, COST_BRIDGE = 270, COST_COAST = 21, COST_ADJ_OBST = 58, MAX_BRIDGE_LEN = 11, MAX_TUNNEL_LEN = 8
