id = 0, result = 93003.8333333, COST_COAST = 31, MAX_COST = 12783428, COST_DIAGONAL = 120, COST_TILE = 114, COST_TURN = 70, COST_SLOPE = 160, COST_TUNNEL = 173, COST_NO_ADJ_RAIL = 41, COST_BRIDGE = 281, COST_ADJ_OBST = 15, MAX_BRIDGE_LEN = 18, MAX_TUNNEL_LEN = 15
id = 1, result = 25950.3333333, COST_COAST = 12, COST_DIAGONAL = 74, MAX_COST = 18406322, COST_TILE = 63, COST_TURN = 83, COST_SLOPE = 85, COST_TUNNEL = 236, COST_NO_ADJ_RAIL = 86, COST_BRIDGE = 100, COST_ADJ_OBST = 66, MAX_BRIDGE_LEN = 19, MAX_TUNNEL_LEN = 13
id = 2, result = 61689.0, COST_COAST = 16, COST_DIAGONAL = 67, MAX_COST = 5607139, COST_TILE = 66, COST_TURN = 86, COST_SLOPE = 153, COST_TUNNEL = 184, COST_NO_ADJ_RAIL = 41, COST_BRIDGE = 273, COST_ADJ_OBST = 91, MAX_BRIDGE_LEN = 15, MAX_TUNNEL_LEN = 13
id = 3, result = 63008.3333333, COST_COAST = 10, COST_DIAGONAL = 120, MAX_COST = 12049451, COST_TILE = 169, COST_TURN = 77, COST_SLOPE = 61, COST_TUNNEL = 207, COST_NO_ADJ_RAIL = 79, COST_BRIDGE = 233, COST_ADJ_OBST = 93, MAX_BRIDGE_LEN = 18, MAX_TUNNEL_LEN = 7
id = 4, result = 63413.1666667, COST_COAST = 36, MAX_COST = 12783428, COST_DIAGONAL = 126, COST_TILE = 114, COST_TURN = 67, COST_SLOPE = 160, COST_TUNNEL = 173, COST_NO_ADJ_RAIL = 41, COST_BRIDGE = 288, COST_ADJ_OBST = 15, MAX_BRIDGE_LEN = 20, MAX_TUNNEL_LEN = 15
id = 5, result = 69936.3333333, COST_COAST = 28, MAX_COST = 12783428, COST_DIAGONAL = 120, COST_TILE = 114, COST_TURN = 77, COST_SLOPE = 160, COST_TUNNEL = 173, COST_NO_ADJ_RAIL = 41, COST_BRIDGE = 281, COST_ADJ_OBST = 15, MAX_BRIDGE_LEN = 20, MAX_TUNNEL_LEN = 15
id = 6, result = 44929.1666667, COST_COAST = 31, MAX_COST = 12783428, COST_DIAGONAL = 120, COST_TILE = 117, COST_TURN = 70, COST_SLOPE = 160, COST_TUNNEL = 173, COST_NO_ADJ_RAIL = 46, COST_BRIDGE = 286, COST_ADJ_OBST = 5, MAX_BRIDGE_LEN = 18, MAX_TUNNEL_LEN = 15
id = 7, result = 61132.1666667, COST_COAST = 33, MAX_COST = 12418371, COST_DIAGONAL = 107, COST_TILE = 114, COST_TURN = 70, COST_SLOPE = 160, COST_TUNNEL = 173, COST_NO_ADJ_RAIL = 41, COST_BRIDGE = 281, COST_ADJ_OBST = 19, MAX_BRIDGE_LEN = 17, MAX_TUNNEL_LEN = 15
id = 8, result = 95297.3333333, COST_COAST = 24, MAX_COST = 18648317, COST_DIAGONAL = 120, COST_TILE = 114, COST_TURN = 30, COST_SLOPE = 160, COST_TUNNEL = 173, COST_NO_ADJ_RAIL = 41, COST_BRIDGE = 281, COST_ADJ_OBST = 15, MAX_BRIDGE_LEN = 18, MAX_TUNNEL_LEN = 15
id = 9, result = 58138.3333333, COST_COAST = 31, MAX_COST = 10009066, COST_DIAGONAL = 120, COST_TILE = 109, COST_TURN = 70, COST_SLOPE = 160, COST_TUNNEL = 173, COST_NO_ADJ_RAIL = 41, COST_BRIDGE = 152, COST_ADJ_OBST = 100, MAX_BRIDGE_LEN = 18, MAX_TUNNEL_LEN = 15
id = 10, result = 70063.1666667, COST_COAST = 31, MAX_COST = 12783428, COST_DIAGONAL = 120, COST_TILE = 114, COST_TURN = 41, COST_SLOPE = 160, COST_TUNNEL = 173, COST_NO_ADJ_RAIL = 41, COST_BRIDGE = 281, COST_ADJ_OBST = 21, MAX_BRIDGE_LEN = 15, MAX_TUNNEL_LEN = 15
