id = 0, result = 11510372.25, COST_COAST = 24, MAX_COST = 11806084, COST_DIAGONAL = 65, COST_TILE = 127, COST_TURN = 54, COST_SLOPE = 189, COST_TUNNEL = 165, COST_NO_ADJ_RAIL = 97, COST_BRIDGE = 81, COST_ADJ_OBST = 99, MAX_BRIDGE_LEN = 6, MAX_TUNNEL_LEN = 18
id = 1, result = 20669659.625, COST_COAST = 35, MAX_COST = 8454701, COST_DIAGONAL = 92, COST_TILE = 192, COST_TURN = 55, COST_SLOPE = 105, COST_TUNNEL = 183, COST_NO_ADJ_RAIL = 45, COST_BRIDGE = 159, COST_ADJ_OBST = 20, MAX_BRIDGE_LEN = 4, MAX_TUNNEL_LEN = 14
id = 2, result = 10472031.25, MAX_COST = 11495244, COST_DIAGONAL = 58, COST_TILE = 148, COST_TURN = 45, COST_SLOPE = 179, COST_TUNNEL = 118, COST_NO_ADJ_RAIL = 100, COST_BRIDGE = 279, COST_COAST = 35, COST_ADJ_OBST = 76, MAX_BRIDGE_LEN = 14, MAX_TUNNEL_LEN = 11
id = 3, result = 28405685.625, COST_DIAGONAL = 105, MAX_COST = 10917147, COST_TILE = 197, COST_TURN = 58, COST_SLOPE = 98, COST_TUNNEL = 136, COST_NO_ADJ_RAIL = 36, COST_BRIDGE = 289, COST_COAST = 13, COST_ADJ_OBST = 23, MAX_BRIDGE_LEN = 17, MAX_TUNNEL_LEN = 8
id = 4, result = 21313687.625, COST_DIAGONAL = 117, MAX_COST = 10917147, COST_TILE = 197, COST_TURN = 58, COST_SLOPE = 98, COST_TUNNEL = 136, COST_NO_ADJ_RAIL = 36, COST_BRIDGE = 289, COST_COAST = 13, COST_ADJ_OBST = 23, MAX_BRIDGE_LEN = 14, MAX_TUNNEL_LEN = 9
id = 5, result = 21201810.875, COST_DIAGONAL = 98, MAX_COST = 10917147, COST_TILE = 197, COST_TURN = 61, COST_SLOPE = 98, COST_TUNNEL = 134, COST_NO_ADJ_RAIL = 33, COST_BRIDGE = 287, COST_COAST = 14, COST_ADJ_OBST = 23, MAX_BRIDGE_LEN = 17, MAX_TUNNEL_LEN = 8
id = 6, result = 22776589.375, COST_DIAGONAL = 105, MAX_COST = 12424112, COST_TILE = 197, COST_TURN = 58, COST_SLOPE = 98, COST_TUNNEL = 136, COST_NO_ADJ_RAIL = 40, COST_BRIDGE = 289, COST_COAST = 13, COST_ADJ_OBST = 24, MAX_BRIDGE_LEN = 17, MAX_TUNNEL_LEN = 8
id = 7, result = 21627973.25, COST_DIAGONAL = 92, MAX_COST = 10917147, COST_TILE = 197, COST_TURN = 58, COST_SLOPE = 98, COST_TUNNEL = 147, COST_NO_ADJ_RAIL = 36, COST_BRIDGE = 289, COST_COAST = 10, COST_ADJ_OBST = 14, MAX_BRIDGE_LEN = 15, MAX_TUNNEL_LEN = 6
id = 8, result = 20736497.375, COST_DIAGONAL = 139, MAX_COST = 10917147, COST_TILE = 127, COST_TURN = 58, COST_SLOPE = 150, COST_TUNNEL = 162, COST_NO_ADJ_RAIL = 36, COST_BRIDGE = 289, COST_COAST = 13, COST_ADJ_OBST = 23, MAX_BRIDGE_LEN = 17, MAX_TUNNEL_LEN = 8
id = 9, result = 18463218.0, COST_DIAGONAL = 115, MAX_COST = 12172894, COST_TILE = 190, COST_TURN = 59, COST_SLOPE = 61, COST_TUNNEL = 108, COST_NO_ADJ_RAIL = 52, COST_BRIDGE = 146, COST_COAST = 34, COST_ADJ_OBST = 17, MAX_BRIDGE_LEN = 16, MAX_TUNNEL_LEN = 14
id = 10, result = 19724438.125, COST_DIAGONAL = 105, MAX_COST = 18795719, COST_TILE = 197, COST_TURN = 86, COST_SLOPE = 98, COST_TUNNEL = 136, COST_NO_ADJ_RAIL = 36, COST_BRIDGE = 266, COST_COAST = 13, COST_ADJ_OBST = 23, MAX_BRIDGE_LEN = 17, MAX_TUNNEL_LEN = 8
id = 11, result = 15302950.75, COST_DIAGONAL = 105, MAX_COST = 19815667, COST_TILE = 92, COST_TURN = 44, COST_SLOPE = 136, COST_TUNNEL = 141, COST_NO_ADJ_RAIL = 37, COST_BRIDGE = 124, COST_COAST = 12, COST_ADJ_OBST = 45, MAX_BRIDGE_LEN = 5, MAX_TUNNEL_LEN = 15
id = 12, result = 11447508.75, MAX_COST = 16097271, COST_DIAGONAL = 118, COST_TILE = 84, COST_TURN = 70, COST_SLOPE = 135, COST_TUNNEL = 96, COST_NO_ADJ_RAIL = 58, COST_BRIDGE = 214, COST_COAST = 16, COST_ADJ_OBST = 91, MAX_BRIDGE_LEN = 11, MAX_TUNNEL_LEN = 6
id = 13, result = 21914206.75, MAX_COST = 19694454, COST_DIAGONAL = 125, COST_TILE = 112, COST_TURN = 81, COST_SLOPE = 170, COST_TUNNEL = 126, COST_NO_ADJ_RAIL = 19, COST_BRIDGE = 260, COST_COAST = 28, COST_ADJ_OBST = 56, MAX_BRIDGE_LEN = 7, MAX_TUNNEL_LEN = 14
id = 14, result = 13980535.625, MAX_COST = 8335817, COST_DIAGONAL = 134, COST_TILE = 198, COST_TURN = 74, COST_SLOPE = 168, COST_TUNNEL = 115, COST_NO_ADJ_RAIL = 90, COST_BRIDGE = 186, COST_COAST = 39, COST_ADJ_OBST = 12, MAX_BRIDGE_LEN = 6, MAX_TUNNEL_LEN = 9
id = 15, result = 17587895.125, MAX_COST = 11044316, COST_DIAGONAL = 114, COST_TILE = 153, COST_TURN = 47, COST_SLOPE = 171, COST_TUNNEL = 118, COST_NO_ADJ_RAIL = 61, COST_BRIDGE = 113, COST_COAST = 20, COST_ADJ_OBST = 94, MAX_BRIDGE_LEN = 4, MAX_TUNNEL_LEN = 7
id = 16, result = 19202586.75, COST_DIAGONAL = 90, MAX_COST = 10613128, COST_TILE = 130, COST_TURN = 36, COST_SLOPE = 140, COST_TUNNEL = 140, COST_NO_ADJ_RAIL = 48, COST_BRIDGE = 293, COST_COAST = 34, COST_ADJ_OBST = 75, MAX_BRIDGE_LEN = 8, MAX_TUNNEL_LEN = 18
id = 17, result = 15973656.875, COST_DIAGONAL = 42, MAX_COST = 10607595, COST_TILE = 159, COST_TURN = 95, COST_SLOPE = 116, COST_TUNNEL = 140, COST_NO_ADJ_RAIL = 80, COST_BRIDGE = 155, COST_COAST = 35, COST_ADJ_OBST = 96, MAX_BRIDGE_LEN = 8, MAX_TUNNEL_LEN = 6
id = 18, result = 13568028.25, COST_DIAGONAL = 46, MAX_COST = 5342365, COST_TILE = 54, COST_TURN = 99, COST_SLOPE = 166, COST_TUNNEL = 88, COST_NO_ADJ_RAIL = 29, COST_BRIDGE = 285, COST_COAST = 28, COST_ADJ_OBST = 7, MAX_BRIDGE_LEN = 10, MAX_TUNNEL_LEN = 13
id = 19, result = 20991488.5, COST_DIAGONAL = 105, MAX_COST = 10917147, COST_TILE = 164, COST_TURN = 58, COST_SLOPE = 200, COST_TUNNEL = 136, COST_NO_ADJ_RAIL = 36, COST_BRIDGE = 289, COST_COAST = 13, COST_ADJ_OBST = 23, MAX_BRIDGE_LEN = 17, MAX_TUNNEL_LEN = 8
id = 20, result = 24142857.125, COST_DIAGONAL = 105, MAX_COST = 10917147, COST_TILE = 197, COST_TURN = 58, COST_SLOPE = 98, COST_TUNNEL = 61, COST_NO_ADJ_RAIL = 36, COST_BRIDGE = 289, COST_COAST = 13, COST_ADJ_OBST = 23, MAX_BRIDGE_LEN = 9, MAX_TUNNEL_LEN = 8
id = 21, result = 20448915.375, COST_DIAGONAL = 105, MAX_COST = 10917147, COST_TILE = 197, COST_TURN = 58, COST_SLOPE = 98, COST_TUNNEL = 153, COST_NO_ADJ_RAIL = 36, COST_BRIDGE = 289, COST_COAST = 13, COST_ADJ_OBST = 23, MAX_BRIDGE_LEN = 17, MAX_TUNNEL_LEN = 8
id = 22, result = 21924367.75, COST_DIAGONAL = 105, MAX_COST = 10917147, COST_TILE = 178, COST_TURN = 58, COST_SLOPE = 98, COST_TUNNEL = 136, COST_NO_ADJ_RAIL = 36, COST_BRIDGE = 289, COST_COAST = 13, COST_ADJ_OBST = 23, MAX_BRIDGE_LEN = 17, MAX_TUNNEL_LEN = 8
id = 23, result = 32162402.5, COST_DIAGONAL = 105, MAX_COST = 10917147, COST_TILE = 197, COST_TURN = 50, COST_SLOPE = 94, COST_TUNNEL = 136, COST_NO_ADJ_RAIL = 36, COST_BRIDGE = 289, COST_COAST = 13, COST_ADJ_OBST = 23, MAX_BRIDGE_LEN = 17, MAX_TUNNEL_LEN = 8
id = 24, result = 24129829.5, COST_DIAGONAL = 105, MAX_COST = 10917147, COST_TILE = 197, COST_TURN = 74, COST_SLOPE = 94, COST_TUNNEL = 136, COST_NO_ADJ_RAIL = 22, COST_BRIDGE = 267, COST_COAST = 13, COST_ADJ_OBST = 23, MAX_BRIDGE_LEN = 17, MAX_TUNNEL_LEN = 8
id = 25, result = 21280570.0, COST_DIAGONAL = 105, MAX_COST = 12875009, COST_TILE = 197, COST_TURN = 28, COST_SLOPE = 94, COST_TUNNEL = 136, COST_NO_ADJ_RAIL = 37, COST_BRIDGE = 87, COST_COAST = 13, COST_ADJ_OBST = 23, MAX_BRIDGE_LEN = 17, MAX_TUNNEL_LEN = 8
id = 26, result = 22951734.875, COST_DIAGONAL = 105, MAX_COST = 10917147, COST_TILE = 197, COST_TURN = 50, COST_SLOPE = 94, COST_TUNNEL = 136, COST_NO_ADJ_RAIL = 35, COST_BRIDGE = 191, COST_COAST = 13, COST_ADJ_OBST = 47, MAX_BRIDGE_LEN = 17, MAX_TUNNEL_LEN = 8
id = 27, result = 36982367.375, COST_DIAGONAL = 105, MAX_COST = 10917147, COST_TILE = 197, COST_TURN = 50, COST_SLOPE = 94, COST_TUNNEL = 136, COST_NO_ADJ_RAIL = 36, COST_BRIDGE = 111, COST_COAST = 13, COST_ADJ_OBST = 23, MAX_BRIDGE_LEN = 17, MAX_TUNNEL_LEN = 8
id = 28, result = 18917547.75, COST_DIAGONAL = 103, MAX_COST = 10917147, COST_TILE = 197, COST_TURN = 50, COST_SLOPE = 94, COST_TUNNEL = 136, COST_NO_ADJ_RAIL = 50, COST_BRIDGE = 111, COST_COAST = 17, COST_ADJ_OBST = 23, MAX_BRIDGE_LEN = 17, MAX_TUNNEL_LEN = 8
id = 29, result = 21084346.875, COST_DIAGONAL = 105, MAX_COST = 10917147, COST_TILE = 197, COST_TURN = 50, COST_SLOPE = 94, COST_TUNNEL = 136, COST_NO_ADJ_RAIL = 36, COST_BRIDGE = 248, COST_COAST = 13, COST_ADJ_OBST = 23, MAX_BRIDGE_LEN = 17, MAX_TUNNEL_LEN = 8
id = 30, result = 24197393.5, COST_DIAGONAL = 101, MAX_COST = 10917147, COST_TILE = 197, COST_TURN = 50, COST_SLOPE = 94, COST_TUNNEL = 136, COST_NO_ADJ_RAIL = 36, COST_BRIDGE = 111, COST_COAST = 13, COST_ADJ_OBST = 23, MAX_BRIDGE_LEN = 17, MAX_TUNNEL_LEN = 8
