id = 0, result = 607108.875, COST_COAST = 13, MAX_COST = 9295524, COST_DIAGONAL = 68, COST_TILE = 194, COST_TURN = 74, COST_SLOPE = 170, COST_TUNNEL = 213, COST_NO_ADJ_RAIL = 31, COST_BRIDGE = 216, COST_ADJ_OBST = 85, MAX_BRIDGE_LEN = 12, MAX_TUNNEL_LEN = 7
id = 1, result = 366796.5, COST_DIAGONAL = 86, MAX_COST = 9873113, COST_TILE = 70, COST_TURN = 54, COST_SLOPE = 129, COST_TUNNEL = 70, MAX_BRIDGE_LEN = 13, COST_BRIDGE = 117, COST_COAST = 12, COST_ADJ_OBST = 53, COST_NO_ADJ_RAIL = 18, MAX_TUNNEL_LEN = 19
id = 2, result = 50788.875, COST_COAST = 35, COST_DIAGONAL = 125, MAX_COST = 15033398, COST_TILE = 58, COST_TURN = 77, COST_SLOPE = 147, COST_TUNNEL = 225, MAX_BRIDGE_LEN = 12, COST_BRIDGE = 76, COST_ADJ_OBST = 81, COST_NO_ADJ_RAIL = 71, MAX_TUNNEL_LEN = 12
id = 3, result = 507142.0, COST_COAST = 19, COST_DIAGONAL = 128, MAX_COST = 11853135, COST_TILE = 170, COST_TURN = 92, COST_SLOPE = 144, COST_TUNNEL = 227, MAX_BRIDGE_LEN = 11, COST_BRIDGE = 284, COST_ADJ_OBST = 70, COST_NO_ADJ_RAIL = 6, MAX_TUNNEL_LEN = 3
id = 4, result = 432798.875, COST_COAST = 13, MAX_COST = 9295524, COST_DIAGONAL = 68, COST_TILE = 194, COST_TURN = 74, COST_SLOPE = 170, COST_TUNNEL = 146, COST_NO_ADJ_RAIL = 31, COST_BRIDGE = 216, COST_ADJ_OBST = 85, MAX_BRIDGE_LEN = 12, MAX_TUNNEL_LEN = 7
id = 5, result = 210561.75, COST_COAST = 13, MAX_COST = 9295524, COST_DIAGONAL = 37, COST_TILE = 194, COST_TURN = 74, COST_SLOPE = 170, COST_TUNNEL = 213, COST_NO_ADJ_RAIL = 31, COST_BRIDGE = 287, COST_ADJ_OBST = 85, MAX_BRIDGE_LEN = 12, MAX_TUNNEL_LEN = 7
id = 6, result = 393983.75, COST_COAST = 13, MAX_COST = 9295524, COST_DIAGONAL = 68, COST_TILE = 194, COST_TURN = 74, COST_SLOPE = 81, COST_TUNNEL = 213, COST_NO_ADJ_RAIL = 31, COST_BRIDGE = 96, COST_ADJ_OBST = 85, MAX_BRIDGE_LEN = 19, MAX_TUNNEL_LEN = 7
id = 7, result = 614120.5, COST_COAST = 13, MAX_COST = 9295524, COST_DIAGONAL = 52, COST_TILE = 194, COST_TURN = 74, COST_SLOPE = 170, COST_TUNNEL = 213, COST_NO_ADJ_RAIL = 31, COST_BRIDGE = 216, COST_ADJ_OBST = 85, MAX_BRIDGE_LEN = 12, MAX_TUNNEL_LEN = 3
id = 8, result = 534514.375, COST_COAST = 13, MAX_COST = 9295524, COST_DIAGONAL = 52, COST_TILE = 194, COST_TURN = 74, COST_SLOPE = 183, COST_TUNNEL = 143, COST_NO_ADJ_RAIL = 57, COST_BRIDGE = 216, COST_ADJ_OBST = 85, MAX_BRIDGE_LEN = 12, MAX_TUNNEL_LEN = 17
id = 9, result = 356300.75, COST_COAST = 13, MAX_COST = 9295524, COST_DIAGONAL = 52, COST_TILE = 194, COST_TURN = 43, COST_SLOPE = 170, COST_TUNNEL = 213, COST_NO_ADJ_RAIL = 31, COST_BRIDGE = 216, COST_ADJ_OBST = 85, MAX_BRIDGE_LEN = 12, MAX_TUNNEL_LEN = 3
id = 10, result = 504048.125, COST_COAST = 13, MAX_COST = 9295524, COST_DIAGONAL = 52, COST_TILE = 194, COST_TURN = 74, COST_SLOPE = 170, COST_TUNNEL = 213, COST_NO_ADJ_RAIL = 31, COST_BRIDGE = 216, COST_ADJ_OBST = 91, MAX_BRIDGE_LEN = 12, MAX_TUNNEL_LEN = 3
